,ds_type,n_samples,noise_level,clf_type,param,k,train_acc,test_acc,error_diff
0,moons,10000,0.0,svm,0.1,0,1.0,1.0,0.0
1,moons,10000,0.0,svm,0.3,0,1.0,1.0,0.0
2,moons,10000,0.0,svm,0.5,0,1.0,1.0,0.0
3,moons,10000,0.0,svm,0.7,0,1.0,1.0,0.0
4,moons,10000,0.0,svm,0.9,0,1.0,1.0,0.0
5,moons,10000,0.0,svm,1.0,0,1.0,1.0,0.0
6,moons,10000,0.0,svm,0.1,1,1.0,1.0,0.0
7,moons,10000,0.0,svm,0.3,1,1.0,1.0,0.0
8,moons,10000,0.0,svm,0.5,1,1.0,1.0,0.0
9,moons,10000,0.0,svm,0.7,1,1.0,1.0,0.0
10,moons,10000,0.0,svm,0.9,1,1.0,1.0,0.0
11,moons,10000,0.0,svm,1.0,1,1.0,1.0,0.0
12,moons,10000,0.0,svm,0.1,2,1.0,1.0,0.0
13,moons,10000,0.0,svm,0.3,2,1.0,1.0,0.0
14,moons,10000,0.0,svm,0.5,2,1.0,1.0,0.0
15,moons,10000,0.0,svm,0.7,2,1.0,1.0,0.0
16,moons,10000,0.0,svm,0.9,2,1.0,1.0,0.0
17,moons,10000,0.0,svm,1.0,2,1.0,1.0,0.0
18,moons,10000,0.0,svm,0.1,3,1.0,1.0,0.0
19,moons,10000,0.0,svm,0.3,3,1.0,1.0,0.0
20,moons,10000,0.0,svm,0.5,3,1.0,1.0,0.0
21,moons,10000,0.0,svm,0.7,3,1.0,1.0,0.0
22,moons,10000,0.0,svm,0.9,3,1.0,1.0,0.0
23,moons,10000,0.0,svm,1.0,3,1.0,1.0,0.0
24,moons,10000,0.0,svm,0.1,4,1.0,1.0,0.0
25,moons,10000,0.0,svm,0.3,4,1.0,1.0,0.0
26,moons,10000,0.0,svm,0.5,4,1.0,1.0,0.0
27,moons,10000,0.0,svm,0.7,4,1.0,1.0,0.0
28,moons,10000,0.0,svm,0.9,4,1.0,1.0,0.0
29,moons,10000,0.0,svm,1.0,4,1.0,1.0,0.0
30,moons,10000,0.0,svm,0.1,5,1.0,1.0,0.0
31,moons,10000,0.0,svm,0.3,5,1.0,1.0,0.0
32,moons,10000,0.0,svm,0.5,5,1.0,1.0,0.0
33,moons,10000,0.0,svm,0.7,5,1.0,1.0,0.0
34,moons,10000,0.0,svm,0.9,5,1.0,1.0,0.0
35,moons,10000,0.0,svm,1.0,5,1.0,1.0,0.0
36,moons,10000,0.0,svm,0.1,6,1.0,1.0,0.0
37,moons,10000,0.0,svm,0.3,6,1.0,1.0,0.0
38,moons,10000,0.0,svm,0.5,6,1.0,1.0,0.0
39,moons,10000,0.0,svm,0.7,6,1.0,1.0,0.0
40,moons,10000,0.0,svm,0.9,6,1.0,1.0,0.0
41,moons,10000,0.0,svm,1.0,6,1.0,1.0,0.0
42,moons,10000,0.0,svm,0.1,7,1.0,1.0,0.0
43,moons,10000,0.0,svm,0.3,7,1.0,1.0,0.0
44,moons,10000,0.0,svm,0.5,7,1.0,1.0,0.0
45,moons,10000,0.0,svm,0.7,7,1.0,1.0,0.0
46,moons,10000,0.0,svm,0.9,7,1.0,1.0,0.0
47,moons,10000,0.0,svm,1.0,7,1.0,1.0,0.0
48,moons,10000,0.0,svm,0.1,8,1.0,1.0,0.0
49,moons,10000,0.0,svm,0.3,8,1.0,1.0,0.0
50,moons,10000,0.0,svm,0.5,8,1.0,1.0,0.0
51,moons,10000,0.0,svm,0.7,8,1.0,1.0,0.0
52,moons,10000,0.0,svm,0.9,8,1.0,1.0,0.0
53,moons,10000,0.0,svm,1.0,8,1.0,1.0,0.0
54,moons,10000,0.0,svm,0.1,9,1.0,1.0,0.0
55,moons,10000,0.0,svm,0.3,9,1.0,1.0,0.0
56,moons,10000,0.0,svm,0.5,9,1.0,1.0,0.0
57,moons,10000,0.0,svm,0.7,9,1.0,1.0,0.0
58,moons,10000,0.0,svm,0.9,9,1.0,1.0,0.0
59,moons,10000,0.0,svm,1.0,9,1.0,1.0,0.0
60,moons,10000,0.1,svm,0.1,0,0.9686666666666667,0.971,-0.0023333333333332984
61,moons,10000,0.1,svm,0.3,0,0.9977777777777778,0.999,-0.0012222222222222356
62,moons,10000,0.1,svm,0.5,0,0.9993333333333333,0.999,0.0003333333333332966
63,moons,10000,0.1,svm,0.7,0,0.9994444444444445,0.999,0.0004444444444444695
64,moons,10000,0.1,svm,0.9,0,0.9994444444444445,0.999,0.0004444444444444695
65,moons,10000,0.1,svm,1.0,0,0.9993333333333333,0.999,0.0003333333333332966
66,moons,10000,0.1,svm,0.1,1,0.9703333333333334,0.962,0.008333333333333415
67,moons,10000,0.1,svm,0.3,1,0.9976666666666667,0.998,-0.0003333333333332966
68,moons,10000,0.1,svm,0.5,1,0.9993333333333333,0.999,0.0003333333333332966
69,moons,10000,0.1,svm,0.7,1,0.9994444444444445,0.999,0.0004444444444444695
70,moons,10000,0.1,svm,0.9,1,0.9994444444444445,1.0,-0.0005555555555555314
71,moons,10000,0.1,svm,1.0,1,0.9993333333333333,1.0,-0.0006666666666667043
72,moons,10000,0.1,svm,0.1,2,0.9698888888888889,0.962,0.007888888888888945
73,moons,10000,0.1,svm,0.3,2,0.998,0.997,0.0010000000000000009
74,moons,10000,0.1,svm,0.5,2,0.9994444444444445,0.999,0.0004444444444444695
75,moons,10000,0.1,svm,0.7,2,0.9994444444444445,0.999,0.0004444444444444695
76,moons,10000,0.1,svm,0.9,2,0.9994444444444445,0.999,0.0004444444444444695
77,moons,10000,0.1,svm,1.0,2,0.9994444444444445,0.998,0.0014444444444444704
78,moons,10000,0.1,svm,0.1,3,0.9703333333333334,0.966,0.004333333333333411
79,moons,10000,0.1,svm,0.3,3,0.998,0.998,0.0
80,moons,10000,0.1,svm,0.5,3,0.9993333333333333,1.0,-0.0006666666666667043
81,moons,10000,0.1,svm,0.7,3,0.9994444444444445,1.0,-0.0005555555555555314
82,moons,10000,0.1,svm,0.9,3,0.9993333333333333,1.0,-0.0006666666666667043
83,moons,10000,0.1,svm,1.0,3,0.9993333333333333,1.0,-0.0006666666666667043
84,moons,10000,0.1,svm,0.1,4,0.9703333333333334,0.959,0.011333333333333417
85,moons,10000,0.1,svm,0.3,4,0.998,0.994,0.0040000000000000036
86,moons,10000,0.1,svm,0.5,4,0.9991111111111111,0.999,0.00011111111111106187
87,moons,10000,0.1,svm,0.7,4,0.9994444444444445,0.999,0.0004444444444444695
88,moons,10000,0.1,svm,0.9,4,0.9994444444444445,0.999,0.0004444444444444695
89,moons,10000,0.1,svm,1.0,4,0.9994444444444445,0.999,0.0004444444444444695
90,moons,10000,0.1,svm,0.1,5,0.9692222222222222,0.978,-0.008777777777777773
91,moons,10000,0.1,svm,0.3,5,0.998,0.998,0.0
92,moons,10000,0.1,svm,0.5,5,0.9993333333333333,1.0,-0.0006666666666667043
93,moons,10000,0.1,svm,0.7,5,0.9993333333333333,1.0,-0.0006666666666667043
94,moons,10000,0.1,svm,0.9,5,0.9994444444444445,1.0,-0.0005555555555555314
95,moons,10000,0.1,svm,1.0,5,0.9993333333333333,1.0,-0.0006666666666667043
96,moons,10000,0.1,svm,0.1,6,0.9685555555555555,0.972,-0.003444444444444472
97,moons,10000,0.1,svm,0.3,6,0.9976666666666667,0.998,-0.0003333333333332966
98,moons,10000,0.1,svm,0.5,6,0.9992222222222222,1.0,-0.0007777777777777661
99,moons,10000,0.1,svm,0.7,6,0.9993333333333333,1.0,-0.0006666666666667043
100,moons,10000,0.1,svm,0.9,6,0.9994444444444445,1.0,-0.0005555555555555314
101,moons,10000,0.1,svm,1.0,6,0.9993333333333333,1.0,-0.0006666666666667043
102,moons,10000,0.1,svm,0.1,7,0.9686666666666667,0.974,-0.005333333333333301
103,moons,10000,0.1,svm,0.3,7,0.998,0.998,0.0
104,moons,10000,0.1,svm,0.5,7,0.9995555555555555,0.998,0.0015555555555555323
105,moons,10000,0.1,svm,0.7,7,0.9996666666666667,0.998,0.0016666666666667052
106,moons,10000,0.1,svm,0.9,7,0.9996666666666667,0.998,0.0016666666666667052
107,moons,10000,0.1,svm,1.0,7,0.9995555555555555,0.998,0.0015555555555555323
108,moons,10000,0.1,svm,0.1,8,0.9693333333333334,0.973,-0.003666666666666596
109,moons,10000,0.1,svm,0.3,8,0.9978888888888889,0.999,-0.0011111111111110628
110,moons,10000,0.1,svm,0.5,8,0.9993333333333333,1.0,-0.0006666666666667043
111,moons,10000,0.1,svm,0.7,8,0.9993333333333333,1.0,-0.0006666666666667043
112,moons,10000,0.1,svm,0.9,8,0.9994444444444445,1.0,-0.0005555555555555314
113,moons,10000,0.1,svm,1.0,8,0.9993333333333333,1.0,-0.0006666666666667043
114,moons,10000,0.1,svm,0.1,9,0.9684444444444444,0.979,-0.01055555555555554
115,moons,10000,0.1,svm,0.3,9,0.998,0.998,0.0
116,moons,10000,0.1,svm,0.5,9,0.9992222222222222,1.0,-0.0007777777777777661
117,moons,10000,0.1,svm,0.7,9,0.9993333333333333,1.0,-0.0006666666666667043
118,moons,10000,0.1,svm,0.9,9,0.9994444444444445,1.0,-0.0005555555555555314
119,moons,10000,0.1,svm,1.0,9,0.9993333333333333,1.0,-0.0006666666666667043
120,moons,10000,0.2,svm,0.1,0,0.9303333333333333,0.931,-0.0006666666666667043
121,moons,10000,0.2,svm,0.3,0,0.9671111111111111,0.968,-0.000888888888888828
122,moons,10000,0.2,svm,0.5,0,0.9723333333333334,0.974,-0.0016666666666665941
123,moons,10000,0.2,svm,0.7,0,0.974,0.972,0.0020000000000000018
124,moons,10000,0.2,svm,0.9,0,0.9745555555555555,0.97,0.004555555555555535
125,moons,10000,0.2,svm,1.0,0,0.9747777777777777,0.97,0.00477777777777777
126,moons,10000,0.2,svm,0.1,1,0.9313333333333333,0.924,0.007333333333333303
127,moons,10000,0.2,svm,0.3,1,0.9675555555555555,0.965,0.002555555555555533
128,moons,10000,0.2,svm,0.5,1,0.973,0.968,0.0050000000000000044
129,moons,10000,0.2,svm,0.7,1,0.975,0.969,0.006000000000000005
130,moons,10000,0.2,svm,0.9,1,0.9751111111111112,0.969,0.006111111111111178
131,moons,10000,0.2,svm,1.0,1,0.975,0.969,0.006000000000000005
132,moons,10000,0.2,svm,0.1,2,0.931,0.934,-0.0030000000000000027
133,moons,10000,0.2,svm,0.3,2,0.9686666666666667,0.961,0.0076666666666667105
134,moons,10000,0.2,svm,0.5,2,0.9735555555555555,0.963,0.01055555555555554
135,moons,10000,0.2,svm,0.7,2,0.9751111111111112,0.968,0.007111111111111179
136,moons,10000,0.2,svm,0.9,2,0.9747777777777777,0.967,0.007777777777777772
137,moons,10000,0.2,svm,1.0,2,0.9747777777777777,0.967,0.007777777777777772
138,moons,10000,0.2,svm,0.1,3,0.9305555555555556,0.933,-0.0024444444444444713
139,moons,10000,0.2,svm,0.3,3,0.9664444444444444,0.967,-0.0005555555555555314
140,moons,10000,0.2,svm,0.5,3,0.972,0.977,-0.0050000000000000044
141,moons,10000,0.2,svm,0.7,3,0.9735555555555555,0.981,-0.007444444444444476
142,moons,10000,0.2,svm,0.9,3,0.9742222222222222,0.98,-0.005777777777777771
143,moons,10000,0.2,svm,1.0,3,0.974,0.981,-0.007000000000000006
144,moons,10000,0.2,svm,0.1,4,0.9311111111111111,0.934,-0.002888888888888941
145,moons,10000,0.2,svm,0.3,4,0.9671111111111111,0.963,0.0041111111111111764
146,moons,10000,0.2,svm,0.5,4,0.9728888888888889,0.971,0.00188888888888894
147,moons,10000,0.2,svm,0.7,4,0.9743333333333334,0.971,0.0033333333333334103
148,moons,10000,0.2,svm,0.9,4,0.9745555555555555,0.971,0.003555555555555534
149,moons,10000,0.2,svm,1.0,4,0.9744444444444444,0.971,0.003444444444444472
150,moons,10000,0.2,svm,0.1,5,0.9317777777777778,0.917,0.014777777777777779
151,moons,10000,0.2,svm,0.3,5,0.9675555555555555,0.958,0.00955555555555554
152,moons,10000,0.2,svm,0.5,5,0.9731111111111111,0.967,0.006111111111111178
153,moons,10000,0.2,svm,0.7,5,0.9742222222222222,0.969,0.005222222222222239
154,moons,10000,0.2,svm,0.9,5,0.9752222222222222,0.968,0.007222222222222241
155,moons,10000,0.2,svm,1.0,5,0.9754444444444444,0.968,0.007444444444444476
156,moons,10000,0.2,svm,0.1,6,0.9298888888888889,0.943,-0.013111111111111073
157,moons,10000,0.2,svm,0.3,6,0.9684444444444444,0.968,0.0004444444444444695
158,moons,10000,0.2,svm,0.5,6,0.9731111111111111,0.974,-0.000888888888888828
159,moons,10000,0.2,svm,0.7,6,0.9747777777777777,0.975,-0.00022222222222223476
160,moons,10000,0.2,svm,0.9,6,0.9742222222222222,0.973,0.0012222222222222356
161,moons,10000,0.2,svm,1.0,6,0.9743333333333334,0.973,0.0013333333333334085
162,moons,10000,0.2,svm,0.1,7,0.9303333333333333,0.941,-0.010666666666666602
163,moons,10000,0.2,svm,0.3,7,0.9657777777777777,0.979,-0.013222222222222246
164,moons,10000,0.2,svm,0.5,7,0.972,0.981,-0.009000000000000008
165,moons,10000,0.2,svm,0.7,7,0.9733333333333334,0.983,-0.009666666666666601
166,moons,10000,0.2,svm,0.9,7,0.9735555555555555,0.984,-0.010444444444444478
167,moons,10000,0.2,svm,1.0,7,0.9732222222222222,0.984,-0.010777777777777775
168,moons,10000,0.2,svm,0.1,8,0.9308888888888889,0.935,-0.0041111111111111764
169,moons,10000,0.2,svm,0.3,8,0.9676666666666667,0.969,-0.0013333333333332975
170,moons,10000,0.2,svm,0.5,8,0.9727777777777777,0.974,-0.0012222222222222356
171,moons,10000,0.2,svm,0.7,8,0.9746666666666667,0.975,-0.0003333333333332966
172,moons,10000,0.2,svm,0.9,8,0.9737777777777777,0.976,-0.0022222222222222365
173,moons,10000,0.2,svm,1.0,8,0.9738888888888889,0.976,-0.0021111111111110636
174,moons,10000,0.2,svm,0.1,9,0.9306666666666666,0.92,0.010666666666666602
175,moons,10000,0.2,svm,0.3,9,0.9658888888888889,0.97,-0.004111111111111065
176,moons,10000,0.2,svm,0.5,9,0.972,0.978,-0.006000000000000005
177,moons,10000,0.2,svm,0.7,9,0.973,0.98,-0.007000000000000006
178,moons,10000,0.2,svm,0.9,9,0.9736666666666667,0.982,-0.008333333333333304
179,moons,10000,0.2,svm,1.0,9,0.9733333333333334,0.982,-0.0086666666666666
180,moons,10000,0.3,svm,0.1,0,0.8877777777777778,0.894,-0.00622222222222224
181,moons,10000,0.3,svm,0.3,0,0.9111111111111111,0.93,-0.018888888888888955
182,moons,10000,0.3,svm,0.5,0,0.9157777777777778,0.927,-0.011222222222222245
183,moons,10000,0.3,svm,0.7,0,0.9172222222222223,0.93,-0.012777777777777777
184,moons,10000,0.3,svm,0.9,0,0.917,0.928,-0.01100000000000001
185,moons,10000,0.3,svm,1.0,0,0.9168888888888889,0.927,-0.010111111111111182
186,moons,10000,0.3,svm,0.1,1,0.8885555555555555,0.89,-0.0014444444444444704
187,moons,10000,0.3,svm,0.3,1,0.9143333333333333,0.911,0.0033333333333332993
188,moons,10000,0.3,svm,0.5,1,0.917,0.916,0.0010000000000000009
189,moons,10000,0.3,svm,0.7,1,0.9171111111111111,0.918,-0.000888888888888939
190,moons,10000,0.3,svm,0.9,1,0.9181111111111111,0.918,0.00011111111111106187
191,moons,10000,0.3,svm,1.0,1,0.918,0.917,0.0010000000000000009
192,moons,10000,0.3,svm,0.1,2,0.8891111111111111,0.894,-0.004888888888888943
193,moons,10000,0.3,svm,0.3,2,0.9164444444444444,0.891,0.02544444444444438
